id,nome (marca),nome generico,laboratorio,quantidade,preco
90,NEOMYCIN AND POLYMYXIN B SULFATES AND GRAMICIDIN,"neomycin sulfate, polymyxin b sulfate and gramicidin","Dispensing Solutions, Inc.",53,$42.25
91,Acne,ASTERIAS RUBENS,Natural Health Supply,22,$115.06
92,Infants TYLENOL,acetaminophen,"McNeil Consumer Healthcare Div. McNeil-PPC, Inc",91,$169.40
93,CALCIUM CARBONATE EXTRA STRENGTH ANTACID,calcium carbonate,Geri-Care Pharmaceutical Corp,100,$164.38
94,Lisinopril,Lisinopril,"Life Line Home Care Services, Inc.",91,$156.10
95,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,Rebel Distributors Corp,1,$69.87
96,Detrol,tolterodine tartrate,Pharmacia and Upjohn Company,44,$35.84
97,ropinirole hydrochloride,ropinirole hydrochloride,"Solco healthcare U.S., LLC",64,$192.06
98,Neostigmine Methylsulfate,NEOSTIGMINE METHYLSULFATE,"Fresenius Kabi USA, LLC",11,$181.24
99,Stool Softener,DOCUSATE SODIUM,TOP CARE (Topco Associates LLC),43,$112.54
100,bareMinerals 5-in-1 BB Advanced Performance Eyeshadow Broad Spectrum SPF 15,Titanium Dioxide,"Bare Escentuals Beauty, Inc.",17,$143.50
101,Diltiazem Hydrochloride,Diltiazem Hydrochloride Extended-Release Tablets,Oceanside Pharmaceuticals,74,$58.80
102,Hydrocortisone,Hydrocortisone Acetate,Blossom Pharmaceuticals,34,$151.40
103,Rohto Relief,"hypromellose, tetrahydrozoline HCl, zinc sulfate",Rohto-Mentholatum (Vietnam) Co. Ltd.,41,$181.34
104,ck one waterfresh face makeup spf 15,Titanium Dioxide,Coty US LLC,30,$99.45
105,GAMMA -12,INTERLEUKIN-12 HUMAN RECOMBINANT - INTERFERON GAMMA-1B -,Guna spa,40,$161.00
106,Diltiazem Hydrochloride,Diltiazem Hydrochloride,Sandoz Inc,26,$134.01
107,NICORETTE,nicotine polacrilex,GlaxoSmithKline Consumer Healthcare LP,88,$48.23
108,Severe Oral Pain Reliever,Benzocaine,CVS Pharmacy,28,$86.25
109,SyCircue,MUCOR RACEMOSUS,Syntrion GmbH,22,$107.88
110,INDOMETHACIN,INDOMETHACIN,Direct Rx,94,$162.95
111,Gabapentin,Gabapentin,Cardinal Health,53,$108.03
112,ANS/CNS,"acetylcholine chloride, epinephrine, .gamma.-aminobutyric acid, histamine, goldenseal, norepinephrine, taraxacum palustre root, tyramine",VIATREXX BIO INCORPORATED,17,$12.05
113,Pancreaplex,"Chelidonium majus, Glycyrrhiza glabra, Hydrastis canadensis, Nux muschata",Apotheca Company,83,$73.08
114,Isosorbide Mononitrate,Isosorbide Mononitrate,McKesson Contract Packaging,95,$112.22
115,Lescol,fluvastatin sodium,Novartis Pharmaceuticals Corporation,85,$7.87
116,Levothyroxine Sodium,levothyroxine sodium,Mylan Institutional Inc.,20,$175.12
117,DR. RECKEWEG R46 Manurheumin,"Ferrum phosphoricum 12X, Lithium carbonicum 12X, Natrum sulphuricum 30X, Nux vomica 30X, Rhododendron chrysanthum 6X, Spiraea ulmaria 12X",PHARMAZEUTISCHE FABRIK DR. RECKEWEG & CO,83,$23.18
118,Childrens,Cetirizine Hydrochloride,Kroger Company,65,$131.61
119,PETROLATUM,PETROLATUM,Sion Biotext Medical Ltd,93,$94.28
120,Promethazine Hydrochloride,Promethazine Hydrochloride,Bryant Ranch Prepack,19,$9.44
121,Mirtazapine,Mirtazapine,Teva Pharmaceuticals USA Inc,52,$54.31
122,UltrasolSunscreen,"Avobenzone, Octinoxate, Octisalate, Octocrylene, Oxybenzone",Fischer Pharmaceuticals Ltd,99,$59.48
123,Oxycodone and Acetaminophen,Oxycodone hydrochloride and Acetaminophen,"PD-Rx Pharmaceuticals, Inc.",29,$29.58
124,Dove,Aluminum Zirconium Tetrachlorohydrex GLY,Conopco Inc. d/b/a Unilever,67,$190.78
125,Venlafaxine Hydrochloride,Venlafaxine Hydrochloride,American Health Packaging,31,$32.40
126,Zep Alcohol Sanitizer,Ethanol,Zep Inc.,74,$194.00
127,Doxycycline Hyclate,Doxycycline Hyclate,Clinical Solutions Wholesale,84,$80.90
128,Klor-Con,Potassium Chloride,Cardinal Health,15,$10.77
129,Cold-EEZE,Zinc Gluconate,"ProPhase Labs, Inc.",37,$179.45
130,Benzonatate,Benzonatate,"NCS HealthCare of KY, Inc dba Vangard Labs",33,$0.69
131,Ceramide Lift And Firm Makeup Broad Spectrum Sunscreen SPF 15 Cream,OCTINOXATE and TITANIUM DIOXIDE,"Elizabeth Arden, Inc",63,$30.52
132,Gabazolpidem-5,"ZOLPIDEM TARTRATE, CHOLINE",Physician Therapeutics LLC,64,$21.29
133,REZIL,CAPSAICIN,"Toqara, Inc.",3,$179.84
134,Paclitaxel,Paclitaxel,"WG Critical Care, LLC",83,$165.40
135,Ampicillin,Ampicillin,"WG Critical Care, LLC",10,$155.76
136,Trileptal,oxcarbazepine,Novartis Pharmaceuticals Corporation,10,$74.16
137,meijer,Hydrocortisone,Meijer Distribution Inc,7,$126.47
138,Methenamine Hippurate,Methenamine Hippurate,Winthrop U.S.,33,$186.42
139,Morrhuate Sodium,Morrhuate Sodium,"American Regent, Inc.",77,$93.48
140,Furosemide,Furosemide,"DAVA Pharmaceuticals, Inc.",5,$52.80
141,Fluconazole,Fluconazole,West-Ward Pharmaceutical Corp,86,$155.13
142,Sucralfate,Sucralfate,"NCS HealthCare of KY, Inc dba Vangard Labs",53,$191.67
143,Adult Tussin DM Max,"Dextromethorphan HBr, Guaifenesin",Western Family Foods Inc,96,$33.01
144,Venlafaxine Hydrochloride,Venlafaxine Hydrochloride,"Physicians Total Care, Inc.",43,$198.65
145,Rydex,"Brompheniramine Maleate, Codeine Phosphate, Pseudoephedrine Hydrochloride",Centurion Labs,42,$189.57
146,Childrens Complete Allergy,Diphenhydramine Hydrochloride,Western Family Foods Inc,52,$144.66
147,Red Delicious Apple,Red Delicious Apple,"Nelco Laboratories, Inc.",72,$29.38
148,Blackberry,Blackberry,"Nelco Laboratories, Inc.",70,$132.89
149,Bacti-Free tm,ALCOHOL,"Johnson Labs, Inc.",88,$129.92
150,Nystatin,Nystatin,Cardinal Health,26,$44.77
151,Common Sagebrush,Common Sagebrush,"Nelco Laboratories, Inc.",36,$116.48
152,Preventage Firming Defense Creme Normal/Dry,"Avobenzone, Octocrylene","Merle Norman Cosmetics, Inc",54,$4.54
153,Rapid Repair Balm,Skin Protectant,"Skinfix, Inc.",86,$128.77
154,Levetiracetam,Levetiracetam,"Lotus Pharmaceutical Co., Ltd.",73,$169.06
155,Erythromycin Base,Erythromycin,"PD-Rx Pharmaceuticals, Inc.",35,$114.21
156,Amoxicillin and Clavulanate Potassium,Amoxicillin and Clavulanate Potassium,Aurobindo Pharma Limited,6,$179.37
157,Benztropine Mesylate,Benztropine Mesylate,REMEDYREPACK INC.,44,$99.12
158,Midazolam,midazolam hydrochloride,Sagent Pharmaceuticals,15,$101.83
159,Isoniazid,Isoniazid,Clinical Solutions Wholesale,67,$53.47
160,RANITIDINE,RANITIDINE,STAT Rx USA LLC,94,$7.18
161,Theraflu,"Acetaminophen, Guaifenesin and Phenylephrine HCl",Novartis Consumer Health,72,$114.99
162,Rizatriptan Benzoate,Rizatriptan Benzoate,Teva Pharmaceuticals USA Inc,77,$30.72
163,SUNMARK ANTACID MAXIMUM STRENGTH CHERRY,"aluminum hydroxide, magnesium hydroxide, simethicone",McKesson,34,$51.13
164,Ampicillin and Sulbactam,Ampicillin Sodium and Sulbactam Sodium,AuroMedics Pharma LLC,74,$48.13
165,Lisinopril,Lisinopril,REMEDYREPACK INC.,21,$88.17
166,SyDerm,mucor circinelloides f. lusitanicus,Syntrion GmbH,32,$81.74
167,Simple Saline plus Childrens,"Luffa operculata, Sabadilla","Church & Dwight Co., Inc.",71,$43.42
168,Benztropine Mesylate,benztropine mesylate,"Excellium Pharmaceutical, Inc,",2,$38.85
169,Quetiapine fumarate,Quetiapine fumarate,Accord Healthcare Inc.,5,$96.92
170,Dill,Dill,"Nelco Laboratories, Inc.",36,$101.32
171,Donepezil Hydrochloride,Donepezil Hydrochloride,REMEDYREPACK INC.,24,$60.10
172,Granisetron,Granisetron,Sandoz Inc,63,$171.87
173,Coppertone Kids,"Avobenzone, Homosalate, Octisalate, Octocrylene, and Oxybenzone","MSD Consumer Care, Inc.",44,$162.73
174,TEV-TROPIN,somatropin,Teva,52,$159.11
175,Pneumoplex,"Plantago major, Arsenicum album, Lung, Symphytum officinale, Silicea, Phellandrium aquaticum, Phosphorus, Sulphur",Apotheca Company,50,$199.57
176,CLARINS Broad Spectrum SPF 15 Everlasting Foundation Tint 112,TITANIUM DIOXIDE,Laboratoires Clarins S.A.,50,$18.11
177,Disney PLANES FIRE and RESCUE ANTIBACTERIAL HAND WIPES,BENZALKONIUM CHLORIDE,"Bolero Home Decor, Inc.",56,$18.95
178,Dilantin,Phenytoin Sodium,Parke-Davis Div of Pfizer Inc,60,$106.83
179,Good Neighbor Pharmacy naproxen sodium,Naproxen Sodium,Amerisource Bergen,11,$24.23
180,Isopropyl Rubbing Alcohol 50%,Isopropyl Alcohol,Universal Distribution Center LLC,11,$186.99
181,H-Balm Control,"CALENDULA OFFICINALIS FLOWERING TOP, Echinacea angustifolia, SODIUM CHLORIDE, and Thuja occidentalis Leafy Twig",Forces of Nature,49,$2.02
182,Maybelline New York Pure Stay Powder Foundation Broad Spectrum SPF 15 Sunscreen,Octinoxate,L'Oreal USA Products Inc,9,$142.44
183,Tramadol ER,Tramadol ER,Stat Rx USA,44,$21.49
184,GreenGlo,Lissamine Green,"HUB Pharmaceuticals, Inc.",25,$133.41
185,Benztropine Mesylate,benztropine mesylate,"Upsher-Smith Laboratories, Inc.",47,$57.61
186,Levetiracetam,levetiracetam,"NCS HealthCare of KY, Inc dba Vangard Labs",55,$90.80
187,LEVOXYL,levothyroxine sodium,Pfizer Laboratories Div Pfizer Inc,85,$0.63
188,Business Elite Amenity,"ALCOHOL, SODIUM FLUORIDE","Hangzhou Zhuwen Inflight & Travel Products Co., Ltd.",42,$68.61
189,Ketoconazole,Ketoconazole,Teva Pharmaceuticals USA Inc,73,$81.96
190,Antimicrobial Hand Sanitizer,Alcohol,Hanover Pen Corp dba HPC Global,54,$114.51
191,LYM D,"Chelidonium majus, Echinacea (angustifolia), Hydrastis canadensis, Nasturtium aquaticim, Taraxacum officinale, Trifolium pratense, Urtica dioica,","BioActive Nutritional, Inc.",19,$155.35
192,First Aid for Mind and Body,"Aconitum napellus, Apis mellifica, Arnica montana, Bellis perennis, Bryonia, Calendula officinalis, Chamomilla, Cistus canadensis, Clematis vitalba, flos, Ferrum phosphoricum, Histaminum hydrochloricum, Hypericum perforatum, Impatiens glandulifera, flos, ornithogalum umbellatum, flos, Passiflora incarnata, Phosphorus, Prunus cerasifera, flos, Rhus toxicodendron, sulphur, Symphytum officinale, Trifolium pratense, Veratrum album",King Bio Inc.,81,$196.28
193,Antiseptic Hand Gel,ethyl alcohol,"H and P Industries, Inc. dba Triad Group",3,$61.16
194,Qsymia,phentermine and topiramate,"Vivus, Inc.",83,$123.50
195,ViraClear EPs 7630 Cherry Flavor,Pelargonium sidoides,"Enzymatic Therapy, Inc.",19,$101.30
196,AZITHROMYCIN,AZITHROMYCIN,Dispensing Solutions Inc.,83,$150.31
197,Echinacea Argentum,Echinacea Argentum,Uriel Pharmacy Inc.,8,$133.63
198,Nimbex,Cisatracurium Besylate,AbbVie Inc.,56,$149.49
199,Mucor racemosus,Mucor racemosus,"Antigen Laboratories, Inc.",3,$65.11
200,Quality Choice Cold and Sore Throat,"Acetaminophen, Pheniramine Maleate, Phenylephrine HCl",Chain Drug Marketing Association,21,$130.02
201,Livergen,"Arnica Montana, Byronia Alba Root, Silybum Marianum Seed, Chelidonium Majus, Herring Sperm DNA, Pork Liver, Cervus Elaphus Horn Oil, Sus Scrofa Pancreas, and Taraxacum Officinale",Sunway Biotech LLC,19,$181.44
202,risperidone,risperidone,Cardinal Health,86,$83.17
203,Ceramide Time Complex Moisture Cream SPF 15,Octinoxate,"Elizabeth Arden, Inc",97,$81.42
204,Nystatin,Nystatin,Bryant Ranch Prepack,6,$195.80
205,Dukal Sterile Alcohol Prep Pad,ISOPROPYL ALCOHOL,Dukal Corporation,9,$71.47
206,pain relief,Acetaminophen,Publix Super Markets Inc,44,$191.30
207,LEVOTHYROXINE SODIUM,Levothyroxine Sodium,"Med-Health Pharma, LLC",78,$140.42
208,Low Sugar Cherry Flavor Fishermans Friend Menthol Cough Suppressant,Menthol,"Lofthouse of Fleetwood, Ltd.",39,$176.43
209,Bio Myelin Protein,"Brain (bovine),","BioActive Nutritional, Inc.",5,$190.86
210,Pure petroleum,White Petrolatum,DZA Brands LLC,87,$126.26
211,Zicam Cold Remedy Rapidmelts,Zinc gluconate,"Matrixx Initiatives, Inc.",79,$195.71
212,levalbuterol inhalation,levalbuterol inhalation 0.63mg/3mL,"Dr. Reddy?s Laboratories, Inc.",75,$149.72
213,GH,not applicable,Oxylife Nutritional Supplements Inc,89,$36.69
214,Mycophenolic Acid,Mycophenolic Acid,Apotex Corp,22,$61.76
215,Tobramycin and Dexamethasone,Tobramycin and Dexamethasone,Bausch & Lomb Incorporated,24,$138.83
216,Cauliflower,Cauliflower,"Antigen Laboratories, Inc.",57,$171.32
217,Losartan Potassium,Losartan Potassium,"Lupin Pharmaceuticals, Inc.",28,$172.38
218,Legatrin PM,Acetaminophen and Diphenhydramine Hydrochloride,"Lil' Drug Store Products, Inc",38,$51.10
219,BLATELLA GERMANICA,GERMAN COCKROACH,"ALK-Abello, Inc.",52,$175.23
220,Torsemide,Torsemide,"Physicians Total Care, Inc.",51,$89.95
221,DiorSkin Nude 051 Dark Sand,"TITANIUM DIOXIDE, OCTINOXATE",Parfums Christian Dior,27,$64.87
222,Topiramate,Topiramate,REMEDYREPACK INC.,84,$7.64
223,Micardis,TELMISARTAN,"Physicians Total Care, Inc.",31,$198.98
224,Salicylic Acid,Salicylic Acid,Perrigo New York Inc,79,$114.60
225,Relovox,Renewing Clarifying Cleanser,Transdermal Corp,48,$42.18
226,ck one waterfresh face makeup spf 15,Titanium Dioxide,Coty US LLC,35,$1.90
227,Avocado,Avocado,"Nelco Laboratories, Inc.",64,$106.87
228,Ranitidine,ranitidine hydrochloride,Apotex Corp,94,$166.63
229,Chlordiazepoxide and Amitriptyline HCl,Chlordiazepoxide and Amitriptyline hydrochloride,Par Pharmaceutical Inc,74,$10.06
230,UREA,UREA,"Trinity Pharmaceuticals, LLC",100,$161.90
231,Clotrimazole Antifungal,clotrimazole,Army and Air Force Exchange Service,74,$32.05
232,Rhodotorula mucilaginosa,Rhodotorula mucilaginosa,"Nelco Laboratories, Inc.",86,$198.07
233,Alprazolam,Alprazolam,TYA Pharmaceuticals,55,$185.16
234,Flurazepam,Flurazepam Hydrochloride,West-ward Pharmaceutical Corp,27,$107.64
235,EMF,"Arnica montana, Arsenicum album, Baptisia tinctoria, Cinchona officinalis, Galium aparine, Hepar suis, Korean ginseng, Mercurius corrosivus, Phosphoricum acidum, Radium bromatum, Sulphur iodatum, Thuja occidentalis, X-ray,","Liddell Laboratories, Inc.",77,$107.20
236,SUPRESS A,"Dexbromopheniramine Maleate, Dextromethorphan HBr, Phenylephrine HCl",Kramer Novis,96,$180.17
237,Nitrofurantoin (monohydrate/macrocrystals),Nitrofurantoin (monohydrate/macrocrystals),Bryant Ranch Prepack,6,$70.43
238,INDOMETHACIN,indomethacin,Bryant Ranch Prepack,55,$178.78
239,Varico,"Calcarea Fluorica, Carbo Vegetabilis, Hamamelis Virginiana, Lachesis Mutus, Lycopodium Clavatum, Pulsatilla, Secale Cornutum, Staphysagria, Zincum Metallicum",Apotheca Company,10,$191.73
240,Montelukast Sodium,Montelukast Sodium,State of Florida DOH Central Pharmacy,23,$12.04
241,Ammonia N 13,AMMONIA N-13,"University of California, Los Angeles",73,$83.40
242,Smart Sense ibuprofen,Ibuprofen,Kmart Corporation,32,$84.14
243,Intensive scalp care essence,panthenol,"Doori Cosmetics Co., Ltd",57,$150.72
244,ARNICARE,ARNICA MONTANA,Laboratoires Boiron,83,$67.16
245,Colds Yellow Mucous,GOLDENSEAL,Natural Health Supply,90,$196.45
246,Formu Care pain reliever,"Acetaminophen, Aspirin, Caffeine",Access Business Group LLC,28,$8.07
247,RABBIT,RABBIT,"ALK-Abello, Inc.",23,$99.02
248,Milk of Magnesia Original,Phillips Milk of magnesia Original,Aaron Industries Inc.,18,$26.57
249,Actos,pioglitazone hydrochloride,"Dispensing Solutions, Inc.",22,$24.58
250,JANUMET,sitagliptin and metformin hydrochloride,Merck Sharp & Dohme Corp.,76,$32.28
251,First Aid Research Bacitraycin Plus Maximum Vertical,Bacitracin Lidocaine,First Aid Research Corp.,15,$169.11
252,Pioglitazone,pioglitazone,Ranbaxy Pharmaceuticals Inc.,49,$49.76
253,Canary Grass,Canary Grass,"Nelco Laboratories, Inc.",45,$97.93
254,"Butalbital, Acetaminophen, and Caffeine","Butalbital, Acetaminophen, and Caffeine","Golden State Medical Supply, Inc.",53,$71.36
255,Metamucil,Psyllium Husk,The Procter & Gamble Manufacturing Company,12,$26.80
256,Nicotine,Nicotine Polacrilex,Walgreen Company,94,$9.05
257,MINOXIDIL,minoxidil,REMEDYREPACK INC.,22,$137.25
258,Chestal for Children,"ANTIMONY POTASSIUM TARTRATE, BRYONIA ALBA ROOT, PROTORTONIA CACTI, DROSERA ROTUNDIFOLIA, IPECAC, PULSATILLA VULGARIS, RUMEX CRISPUS ROOT, PONGIA OFFICINALIS SKELETON, ROASTED, LOBARIA PULMONARIA",Laboratoires Boiron,55,$31.04
259,SHISEIDO THE MAKEUP FOUNDATION,Titanium dioxide,SHISEIDO AMERICAS CORPORATION,27,$57.29
260,SPF 15,"OCTINOXATE,OXYBENZONE",Whish Body Holdings Inc,50,$164.70
